config_size,freq_bound,orig_vars,bin_vars,orig_constrs,bin_constrs,orig_time,bin_time,orig_obj,bin_obj
100,3,151,551,2551,2751,0.008424043655395508,0.010871171951293945,6.0,192.0
100,5,151,751,2551,2751,0.00837087631225586,0.012708187103271484,6.0,180.0
100,7,151,951,2551,2751,0.008156299591064453,0.013416767120361328,6.0,168.0
11835,3,11886,59226,2551,26221,0.08996295928955078,0.3916442394256592,0.0,0.0
11835,5,11886,82896,2551,26221,0.08626914024353027,0.2512991428375244,0.0,0.0
11835,7,11886,106566,2551,26221,0.09226012229919434,0.32489967346191406,0.0,0.0
23571,3,23622,117906,2551,49693,0.21664094924926758,0.7570669651031494,0.0,0.0
23571,5,23622,165048,2551,49693,0.2137899398803711,0.9177322387695312,0.0,0.0
23571,7,23622,212190,2551,49693,0.24834418296813965,1.1667509078979492,0.0,0.0
35307,3,35358,176586,2551,73165,0.407351016998291,1.174025058746338,0.0,0.0
35307,5,35358,247200,2551,73165,0.39617490768432617,1.4637329578399658,0.0,0.0
35307,7,35358,317814,2551,73165,0.435405969619751,1.8427400588989258,0.0,0.0
47043,3,47094,235266,2551,96637,0.6280860900878906,1.7642760276794434,0.0,0.0
47043,5,47094,329352,2551,96637,0.571429967880249,1.9639878273010254,0.0,0.0
47043,7,47094,423438,2551,96637,0.5660202503204346,1.8723700046539307,0.0,0.0
58779,3,58830,293946,2551,120109,0.9750399589538574,2.0351922512054443,0.0,0.0
58779,5,58830,411504,2551,120109,0.9125518798828125,2.0117859840393066,0.0,0.0
58779,7,58830,529062,2551,120109,1.1859030723571777,2.7099430561065674,0.0,0.0
70515,3,70566,352626,2551,143581,1.0093660354614258,2.2063560485839844,0.0,0.0
70515,5,70566,493656,2551,143581,1.3315680027008057,2.311677932739258,0.0,0.0
70515,7,70566,634686,2551,143581,1.2412371635437012,2.5590810775756836,0.0,0.0
82251,3,82302,411306,2551,167053,1.5249991416931152,2.919992208480835,0.0,0.0
82251,5,82302,575808,2551,167053,1.4040069580078125,3.2238240242004395,0.0,0.0
82251,7,82302,740310,2551,167053,1.4615159034729004,4.265765905380249,0.0,0.0
