Zone,Coverage
"(np.float64(77.50099341094028), np.float64(100.40956380252436))",6
"(np.float64(102.79155918863343), np.float64(57.71390244703734))",6
"(np.float64(43.08578907102127), np.float64(70.08805750928221))",6
"(np.float64(46.74512236205764), np.float64(48.24198870321963))",6
"(np.float64(65.65913901565892), np.float64(35.19693858278035))",6
"(np.float64(90.27211713449708), np.float64(41.50352251546059))",6
"(np.float64(63.11097936978719), np.float64(90.82396918531646))",6
"(np.float64(43.46661909171098), np.float64(63.20427059953497))",6
"(np.float64(61.554984900124545), np.float64(73.42342072749967))",6
"(np.float64(59.68621497995488), np.float64(84.47282750742117))",6
"(np.float64(93.69885199371527), np.float64(51.819367148018365))",6
"(np.float64(83.33548836440991), np.float64(152.92668410680636))",6
"(np.float64(93.59969529146872), np.float64(121.15770519997689))",6
"(np.float64(107.53677804313173), np.float64(143.53653449387787))",6
"(np.float64(61.90971107761959), np.float64(138.88151989167687))",6
"(np.float64(78.60080239493281), np.float64(107.29392439785208))",6
"(np.float64(57.79178908331639), np.float64(24.206445926804147))",6
"(np.float64(83.02940752248401), np.float64(-2.7908464715956))",6
"(np.float64(55.29244002581214), np.float64(15.44619707769132))",6
"(np.float64(107.6262865248657), np.float64(32.01484234228637))",6
"(np.float64(120.83921499997928), np.float64(7.420818226884717))",6
"(np.float64(74.33425038205947), np.float64(-7.55390417283127))",6
"(np.float64(86.08702733209572), np.float64(14.68491595588005))",6
"(np.float64(80.85463745218688), np.float64(-5.12063850434197))",6
"(np.float64(104.15293029492456), np.float64(114.96109966070307))",6
"(np.float64(96.01904699119952), np.float64(150.07583507557192))",6
"(np.float64(88.13317019349095), np.float64(156.10693982766315))",6
"(np.float64(65.99924658005092), np.float64(120.29746318965499))",6
"(np.float64(82.05033918095172), np.float64(146.22359053213842))",6
"(np.float64(103.40461530050227), np.float64(110.13192583300385))",6
"(np.float64(83.00694248149652), np.float64(157.62794432414506))",6
"(np.float64(104.97160394602406), np.float64(150.60858097197118))",6
"(np.float64(102.66938860101958), np.float64(148.9319285529375))",6
"(np.float64(81.96395594285256), np.float64(88.73479912344295))",6
"(np.float64(103.21640975714642), np.float64(63.96713503209232))",6
"(np.float64(62.87704302176751), np.float64(49.77769352912289))",6
"(np.float64(89.88795296047496), np.float64(70.53024450741827))",6
"(np.float64(53.67694301460621), np.float64(87.5631715188948))",6
"(np.float64(67.8266189789564), np.float64(87.76902791141022))",6
"(np.float64(55.09329827420462), np.float64(94.25418914105218))",6
"(np.float64(33.03625809508789), np.float64(-6.935249336240362))",6
"(np.float64(44.11618713571856), np.float64(-4.363732538255703))",6
"(np.float64(37.468797974428995), np.float64(7.481434440332085))",6
"(np.float64(5.907741193943634), np.float64(-17.250414367082104))",6
"(np.float64(15.108379557491043), np.float64(11.193076402557265))",6
"(np.float64(23.753152664853832), np.float64(-30.141565847640567))",6
"(np.float64(18.129768981792058), np.float64(-10.750084763752344))",6
"(np.float64(46.48205135243426), np.float64(14.969569642796838))",6
"(np.float64(19.442952058468112), np.float64(28.556635592790588))",6
"(np.float64(41.172505390523284), np.float64(-2.9153541483237815))",6
