T,batch_size,fairness_gap,time_per_1000_configs
3,100,3,0.6644797325134277
3,1000,3,0.1260819435119629
6,100,6,0.5011391639709473
6,1000,6,0.22208189964294434
6,10000,0,0.2520357847213745
6,100000,0,0.26008126974105833
6,1000000,0,0.02614784598350525
9,100,9,2.2784805297851562
9,1000,9,0.30356693267822266
9,10000,0,0.3596869945526123
9,100000,0,0.37889603853225706
9,1000000,0,0.03894948410987854
